"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1001",NA,"Senior QA engineer","","Automation QA","5","5",2300,400,"Харьков","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","ХНУ им. Каразина","False","продвинутый","Финансы и банки,Корпоративные системы","21/12/2015 12:52:24","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",5,5,"Харьков",2300,NA,"QA"
"1002",NA,"Technical Lead","PHP","","6","1.5",3700,1000,"Киев","до 200 человек","Продуктовая","мужской",21,"Незаконченное высшее","КНУ им. Шевченко","False","выше среднего","Веб-разработка","21/12/2015 12:52:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",6,1.5,"Киев",3700,NA,"SDEV"
"1003",NA,"QA engineer","","Manual QA","4","2",1750,250,"Харьков","до 1000 человек","Аутсорсинговая","мужской",34,"Высшее","ХНУРЭ","False","средний","Веб-разработка,Другое","21/12/2015 12:52:31","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,2,"Харьков",1750,NA,"QA"
"1004",NA,"Software Engineer","C#/.NET","","2","0.25",1700,700,"Киев","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","Другой вуз","False","средний","Веб-разработка,Корпоративные системы","21/12/2015 12:52:34","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0.25,"Киев",1700,NA,"DEV"
"1005",NA,"System Architect","C++","","10 и более лет","9",4000,0,"Киев","до 200 человек","Продуктовая","мужской",35,"Среднее","","False","средний","Desktop Applications","21/12/2015 12:52:34","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",10,9,"Киев",4000,NA,"SDEV"
"1006",NA,"Scrum Master","","","2","0.5",2800,800,"Киев","до 50 человек","Продуктовая","мужской",30,"Высшее","КНУСА","False","выше среднего","Веб-разработка","21/12/2015 12:52:37","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0.5,"Киев",2800,NA,""
"1007",NA,"Senior Software Engineer","JavaScript","","5","0.5",3300,600,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","ЛНУ им. Франко","False","выше среднего","Веб-разработка,Мультимедиа","21/12/2015 12:52:38","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0",5,0.5,"Львов",3300,NA,"DEV"
"1008",NA,"Sysadmin","","","9","3",550,40,"Киев","до 10 человек","Аутсорсинговая","мужской",31,"Высшее","ДонНТУ","False","ниже среднего","Корпоративные системы","21/12/2015 12:52:39","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko",9,3,"Киев",550,NA,""
"1009",NA,"Technical writer","","","2","1",800,250,"Киев","до 50 человек","Аутстаффинговая","мужской",23,"Высшее","НаУКМА","True","ниже среднего","Телекоммуникации,Мультимедиа","21/12/2015 12:52:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2,1,"Киев",800,NA,""
"1010",NA,"QA Tech Lead","","Automation QA","4","4",2350,200,"Другой","до 200 человек","Аутсорсинговая","мужской",30,"Высшее","ДНУ им. Гончара","False","выше среднего","Веб-разработка,Корпоративные системы","21/12/2015 12:52:56","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0",4,4,"other",2350,NA,"QA"
"1011",NA,"Senior Software Engineer","PHP","","10 и более лет","2",2800,0,"Харьков","до 1000 человек","Аутстаффинговая","мужской",35,"Техникум / Колледж","","False","ниже среднего","Веб-разработка","21/12/2015 12:52:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",10,2,"Харьков",2800,NA,"DEV"
"1012",NA,"Software Engineer","JavaScript","","1.5","меньше 3 месяцев",1300,550,"Киев","до 200 человек","Аутсорсинговая","мужской",35,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,Корпоративные системы","21/12/2015 12:53:03","Mozilla/5.0 (Linux; Android 5.0.2; LG-D410 Build/LRX22G.A1439780618) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",1.5,0,"Киев",1300,NA,"DEV"
"1013",NA,"DBA","","","10 и более лет","2",4000,125,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",37,"Высшее","Другой вуз","False","средний","Веб-разработка,Gamedev","21/12/2015 12:53:11","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",10,2,"Киев",4000,NA,""
"1014",NA,"HR","","","2","меньше 3 месяцев",200,0,"Киев","до 200 человек","Продуктовая","женский",27,"Высшее","ДонНТУ","False","ниже среднего","Другое","21/12/2015 12:53:24","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0,"Киев",200,NA,""
"1015",NA,"QA engineer","","Manual QA","3","2",1000,-200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","Другой вуз","False","выше среднего","Android,iOS","21/12/2015 12:53:27","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,2,"Киев",1000,NA,"QA"
"1016",NA,"Software Engineer","Java","","4","1.5",1700,400,"Киев","до 50 человек","Продуктовая","мужской",25,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка,Телекоммуникации","21/12/2015 12:53:32","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",4,1.5,"Киев",1700,NA,"DEV"
"1017",NA,"Project manager","","","5","2",3500,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Два высших","НАУ","False","продвинутый","Веб-разработка,Другое","21/12/2015 12:53:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,2,"Киев",3500,NA,"PM"
"1018",NA,"DevOps","","","7","1",2600,500,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",28,"Незаконченное высшее","НаУКМА","False","продвинутый","eCommerce,Корпоративные системы","21/12/2015 12:53:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",7,1,"Киев",2600,NA,"ADM"
"1019",NA,"Software Engineer","C++","","4","0.25",2750,1400,"Киев","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","КНУ им. Шевченко","False","выше среднего","Embedded","21/12/2015 12:53:57","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",4,0.25,"Киев",2750,NA,"DEV"
"1020",NA,"Senior Software Engineer","Java","","4","1.5",3250,200,"Киев","до 200 человек","Продуктовая","мужской",25,"Высшее","Другой вуз","False","средний","Desktop Applications,Веб-разработка","21/12/2015 12:54:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,1.5,"Киев",3250,NA,"DEV"
"1021",NA,"Software Engineer","Python","","3","2",1100,0,"Винница","до 1000 человек","Аутстаффинговая","мужской",25,"Высшее","ВНТУ","False","ниже среднего","Веб-разработка","21/12/2015 12:54:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,2,"other",1100,NA,"DEV"
"1022",NA,"Software Engineer","PHP","","5","1",3600,2100,"Другой","до 10 человек","Стартап","мужской",28,"Высшее","Другой вуз","False","средний","Веб-разработка,eCommerce","21/12/2015 12:54:25","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,1,"other",3600,NA,"DEV"
"1023",NA,"QA engineer","","Automation QA","4","3",2000,300,"Харьков","до 200 человек","Продуктовая","мужской",27,"Высшее","ХНУРЭ","False","выше среднего","Финансы и банки,Корпоративные системы","21/12/2015 12:54:43","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,3,"Харьков",2000,NA,"QA"
"1024",NA,"Junior Software Engineer","JavaScript","","0.5","0.5",370,80,"Тернополь","до 50 человек","Аутсорсинговая","мужской",18,"Незаконченное высшее","Другой вуз","True","средний","Веб-разработка,Другое","21/12/2015 12:54:47","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"other",370,NA,"DEV"
"1025",NA,"QA engineer","","Manual QA","3","1",1350,350,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",24,"Два высших","ХНУ им. Каразина","False","средний","Веб-разработка,eCommerce","21/12/2015 12:55:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Харьков",1350,NA,"QA"
"1026",NA,"Technical Lead","C++","","6","2",2880,0,"Харьков","до 50 человек","Стартап","мужской",28,"Техникум / Колледж","","False","средний","Desktop Applications,Gamedev","21/12/2015 12:55:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",6,2,"Харьков",2880,NA,"SDEV"
"1027",NA,"DevOps","","","2","1.5",300,75,"Днепр.","до 10 человек","Другая","мужской",25,"Высшее","ДНУЖТ","False","ниже среднего","Корпоративные системы","21/12/2015 12:55:38","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,1.5,"Днепр.",300,NA,"ADM"
"1028",NA,"Senior Software Engineer","JavaScript","","10 и более лет","0.5",3500,0,"Одесса","до 200 человек","Продуктовая","мужской",35,"Незаконченное высшее","Другой вуз","False","средний","iOS,Другое","21/12/2015 12:55:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",10,0.5,"Одесса",3500,NA,"DEV"
"1029",NA,"QA engineer","","Automation QA","3","1.5",1500,300,"Харьков","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","ХАИ","False","средний","Веб-разработка","21/12/2015 12:55:47","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1.5,"Харьков",1500,NA,"QA"
"1030",NA,"Business analyst","","","7","3",1000,0,"Киев","до 1000 человек","Продуктовая","мужской",28,"Высшее","НАУ","False","продвинутый","Android,Мультимедиа","21/12/2015 12:55:52","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",7,3,"Киев",1000,NA,""
"1031",NA,"Senior Software Engineer","C","","2","2",1900,100,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","Другой вуз","False","средний","Embedded","21/12/2015 12:55:52","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",2,2,"Львов",1900,NA,"DEV"
"1032",NA,"Junior Software Engineer","Objective-C","","0.25","меньше 3 месяцев",400,0,"Киев","до 10 человек","Продуктовая","женский",23,"Высшее","ДонНУ","False","ниже среднего","iOS","21/12/2015 12:55:58","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.25,0,"Киев",400,NA,"DEV"
"1033",NA,"Senior Software Engineer","JavaScript","","4","1.5",2800,300,"Днепр.","до 1000 человек","Аутстаффинговая","мужской",31,"Высшее","Другой вуз","False","выше среднего","Веб-разработка","21/12/2015 12:56:07","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,1.5,"Днепр.",2800,NA,"DEV"
"1034",NA,"QA engineer","","General QA","0.5","0.5",1000,0,"Днепр.","до 50 человек","Продуктовая","мужской",27,"Высшее","ДНУ им. Гончара","False","средний","Android,Веб-разработка","21/12/2015 12:56:07","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36",0.5,0.5,"Днепр.",1000,NA,"QA"
"1035",NA,"Junior QA engineer","","General QA","1.5","1",705,300,"Львов","свыше 1000 человек","Аутсорсинговая","женский",24,"Высшее","Другой вуз","False","средний","Веб-разработка,Другое","21/12/2015 12:56:07","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",1.5,1,"Львов",705,NA,"QA"
"1036",NA,"Junior QA engineer","","Manual QA","0.5","0.5",380,0,"Львов","свыше 1000 человек","Аутсорсинговая","женский",22,"Высшее","Львовская Политехника","True","средний","Веб-разработка","21/12/2015 12:56:17","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"Львов",380,NA,"QA"
"1037",NA,"Junior Software Engineer","Java","","0.25","0.25",800,0,"Хмельницкий","до 200 человек","Аутстаффинговая","мужской",33,"Высшее","ХНУ [г. Хмельницкий]","False","выше среднего","Корпоративные системы","21/12/2015 12:56:21","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0",0.25,0.25,"other",800,NA,"DEV"
"1038",NA,"Junior Software Engineer","PHP","","1","0.5",400,100,"Хмельницкий","до 50 человек","Аутсорсинговая","мужской",19,"Незаконченное высшее","ХНУ [г. Хмельницкий]","True","ниже среднего","Веб-разработка","21/12/2015 12:56:33","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1,0.5,"other",400,NA,"DEV"
"1039",NA,"Sysadmin","","","8","8",2800,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",30,"Высшее","КНУ им. Шевченко","False","выше среднего","Телекоммуникации","21/12/2015 12:56:37","Mozilla/5.0 (Linux; Android 4.4.2; HUAWEI P6-U06 Build/HuaweiP6-U06) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",8,8,"Киев",2800,NA,""
"1040",NA,"Junior Software Engineer","PHP","","1","1",600,100,"Хмельницкий","до 50 человек","Аутсорсинговая","мужской",21,"Среднее","","True","средний","Веб-разработка,eCommerce","21/12/2015 12:56:48","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",1,1,"other",600,NA,"DEV"
"1041",NA,"Senior Software Engineer","JavaScript","","5","3",2400,400,"Житомир","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","ЖГТУ","False","средний","Веб-разработка","21/12/2015 12:57:01","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,3,"other",2400,NA,"DEV"
"1042",NA,"Software Engineer","JavaScript","","1.5","меньше 3 месяцев",1500,500,"Киев","до 10 человек","Стартап","мужской",19,"Высшее","НТУУ «КПИ»","True","средний","Веб-разработка","21/12/2015 12:57:04","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",1.5,0,"Киев",1500,NA,"DEV"
"1043",NA,"Designer","","","2","2",500,100,"Киев","до 50 человек","Аутсорсинговая","женский",23,"Высшее","КНУ им. Шевченко","False","средний","Веб-разработка","21/12/2015 12:57:06","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",2,2,"Киев",500,NA,""
"1044",NA,"Junior Software Engineer","Ruby/Rails","","3","2",670,670,"Хмельницкий","до 200 человек","Аутсорсинговая","мужской",28,"Высшее","ХНУ [г. Хмельницкий]","False","выше среднего","Веб-разработка,eCommerce","21/12/2015 12:57:17","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,2,"other",670,NA,"DEV"
"1045",NA,"Senior Software Engineer","Java","","10 и более лет","1",4200,0,"Киев","до 1000 человек","Продуктовая","мужской",37,"Высшее","НТУУ «КПИ»","False","продвинутый","Веб-разработка,Gamedev","21/12/2015 12:57:19","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",10,1,"Киев",4200,NA,"DEV"
"1046",NA,"Software Engineer","Java","","2","0.25",2000,500,"Киев","свыше 1000 человек","Аутсорсинговая","женский",37,"Высшее","СумГУ","False","выше среднего","Финансы и банки","21/12/2015 12:57:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",2,0.25,"Киев",2000,NA,"DEV"
"1047",NA,"Junior Software Engineer","Java","","0.25","0.25",300,300,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","Львовская Политехника","True","средний","Android","21/12/2015 12:57:29","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",0.25,0.25,"Львов",300,NA,"DEV"
"1048",NA,"Business analyst","","","0.5","0.5",1500,0,"Киев","до 1000 человек","Продуктовая","мужской",30,"Высшее","ХНУ им. Каразина","False","выше среднего","Веб-разработка,Другое","21/12/2015 12:57:30","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",0.5,0.5,"Киев",1500,NA,""
"1049",NA,"Senior QA engineer","","Automation QA","6","меньше 3 месяцев",2900,300,"Харьков","до 200 человек","Аутсорсинговая","женский",30,"Два высших","ХНУ им. Каразина","False","выше среднего","Android,eCommerce","21/12/2015 12:57:30","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",6,0,"Харьков",2900,NA,"QA"
"1050",NA,"Business analyst","","","3","1",1960,500,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","ДНУЖТ","False","выше среднего","Desktop Applications","21/12/2015 12:57:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Львов",1960,NA,""
"1051",NA,"Senior Software Engineer","JavaScript","","3","0.25",2500,1700,"Львов","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","ВНТУ","False","средний","Веб-разработка","21/12/2015 12:57:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",3,0.25,"Львов",2500,NA,"DEV"
"1052",NA,"Junior Software Engineer","Java","","0.5","0.5",700,0,"Ужгород","до 50 человек","Стартап","мужской",31,"Высшее","Другой вуз","False","выше среднего","Другое","21/12/2015 12:58:01","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:44.0) Gecko/20100101 Firefox/44.0",0.5,0.5,"other",700,NA,"DEV"
"1053",NA,"Software Engineer","JavaScript","","1","1",500,200,"Винница","до 200 человек","Аутсорсинговая","мужской",19,"Незаконченное высшее","ВНТУ","True","продвинутый","Веб-разработка","21/12/2015 12:58:16","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1,1,"other",500,NA,"DEV"
"1054",NA,"Software Engineer","Java","","2","0.5",1800,600,"Киев","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка,Корпоративные системы","21/12/2015 12:58:31","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:39.0) Gecko/20100101 Firefox/39.0",2,0.5,"Киев",1800,NA,"DEV"
"1055",NA,"Team lead","","","8","5",3500,500,"Одесса","до 50 человек","Аутстаффинговая","женский",30,"Высшее","ОНПУ","False","выше среднего","Телекоммуникации","21/12/2015 12:58:43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",8,5,"Одесса",3500,NA,"PM"
"1056",NA,"Junior Software Engineer","Java","","1.5","1.5",600,50,"Киев","до 50 человек","Продуктовая","мужской",32,"Высшее","ВНУ им. Даля","False","ниже среднего","Android,Телекоммуникации","21/12/2015 12:59:05","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1.5,1.5,"Киев",600,NA,"DEV"
"1057",NA,"Junior Software Engineer","JavaScript","","1.5","1.5",320,0,"Тернополь","до 10 человек","Стартап","мужской",21,"Незаконченное высшее","Другой вуз","True","ниже среднего","Веб-разработка,Корпоративные системы","21/12/2015 12:59:26","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",1.5,1.5,"other",320,NA,"DEV"
"1058",NA,"Junior Software Engineer","Ruby/Rails","","3","0.5",500,150,"Хмельницкий","до 50 человек","Стартап","мужской",19,"Техникум / Колледж","","False","элементарный","Веб-разработка,eCommerce","21/12/2015 12:59:26","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:41.0) Gecko/20100101 Firefox/41.0",3,0.5,"other",500,NA,"DEV"
"1059",NA,"QA engineer","","Automation QA","1.5","0.5",1300,700,"Киев","до 1000 человек","Аутсорсинговая","мужской",26,"Незаконченное высшее","КНУТД","False","средний","Телекоммуникации","21/12/2015 12:59:30","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1.5,0.5,"Киев",1300,NA,"QA"
"1060",NA,"Technical Lead","JavaScript","","10 и более лет","1.5",3990,0,"Киев","до 10 человек","Продуктовая","мужской",29,"Незаконченное высшее","Другой вуз","False","средний","Веб-разработка","21/12/2015 12:59:35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,1.5,"Киев",3990,NA,"SDEV"
"1061",NA,"HTML coder","","","0.5","0.25",400,0,"Киев","до 10 человек","Продуктовая","мужской",32,"Незаконченное высшее","Другой вуз","False","ниже среднего","Веб-разработка","21/12/2015 12:59:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",0.5,0.25,"Киев",400,NA,""
"1062",NA,"Junior Software Engineer","JavaScript","","0.25","0.25",100,0,"Днепр.","до 50 человек","Стартап","женский",21,"Незаконченное высшее","ДНУ им. Гончара","True","выше среднего","Веб-разработка","21/12/2015 12:59:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 YaBrowser/15.10.2454.3865 Safari/537.36",0.25,0.25,"Днепр.",100,NA,"DEV"
"1063",NA,"Senior Software Engineer","Java","","7","1.5",5500,500,"Киев","до 1000 человек","Аутстаффинговая","мужской",28,"Высшее","Другой вуз","False","продвинутый","Другое","21/12/2015 12:59:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",7,1.5,"Киев",5500,NA,"DEV"
"1064",NA,"Junior QA engineer","","Manual QA","3","0.25",300,40,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","ДонНТУ","False","средний","Android,Веб-разработка","21/12/2015 13:00:24","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",3,0.25,"Киев",300,NA,"QA"
"1065",NA,"Senior Software Engineer","JavaScript","","5","4",1900,400,"Ивано-Франковск","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,Другое","21/12/2015 13:00:54","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",5,4,"other",1900,NA,"DEV"
"1066",NA,"Senior QA engineer","","Automation QA","5","меньше 3 месяцев",2500,0,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","ГУТ","False","средний","Веб-разработка","21/12/2015 13:01:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",5,0,"Киев",2500,NA,"QA"
"1067",NA,"Software Engineer","C#/.NET","","3","1",2700,0,"Киев","до 1000 человек","Аутстаффинговая","мужской",25,"Высшее","Другой вуз","False","средний","Корпоративные системы","21/12/2015 13:01:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Киев",2700,NA,"DEV"
"1068",NA,"QA engineer","","Manual QA","5","2",1500,200,"Мариуполь","до 200 человек","Продуктовая","мужской",40,"Высшее","Другой вуз","False","выше среднего","Desktop Applications,Телекоммуникации","21/12/2015 13:01:37","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,2,"other",1500,NA,"QA"
"1069",NA,"Senior Software Engineer","JavaScript","","3","0.5",2000,0,"Другой","до 10 человек","Стартап","мужской",27,"Техникум / Колледж","","False","элементарный","Веб-разработка","21/12/2015 13:01:37","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,0.5,"other",2000,NA,"DEV"
"1070",NA,"QA engineer","","Manual QA","3","0.5",1700,700,"Киев","свыше 1000 человек","Аутсорсинговая","женский",27,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,eCommerce","21/12/2015 13:01:52","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",3,0.5,"Киев",1700,NA,"QA"
