"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1695",NA,"HR","","","4","3",1000,0,"Одесса","до 200 человек","Аутстаффинговая","женский",27,"Высшее","False","средний","Другое","20/05/2014 15:48:31","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",4,3,"Одесса",1000,NA,""
"1696",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","4",2600,200,"Харьков","до 1000 человек","Аутсорсинговая","мужской",31,"Кандидат","False","выше среднего","Desktop Applications,Веб-разработка","20/05/2014 15:48:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,4,"Харьков",2600,NA,"DEV"
"1697",NA,"QA engineer","","General QA","2.5","1",1250,0,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Финансы и банки","20/05/2014 15:48:34","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",2.5,1,"Днепр.",1250,NA,"QA"
"1698",NA,"Senior Software Engineer","Other","","7","1.25",1600,400,"Чернигов","до 1000 человек","Аутсорсинговая","мужской",35,"Высшее","False","выше среднего","Веб-разработка,eCommerce","20/05/2014 15:48:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",7,1.25,"other",1600,NA,"DEV"
"1699",NA,"Software Engineer","C#/.NET","","2","2",1000,200,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Веб-разработка","20/05/2014 15:48:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,2,"Львов",1000,NA,"DEV"
"1700",NA,"Junior Software Engineer","Python","","меньше 3 месяцев","меньше 3 месяцев",800,800,"Львов","до 50 человек","Аутсорсинговая","мужской",22,"Высшее","False","продвинутый","Веб-разработка","20/05/2014 15:48:50","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",0,0,"Львов",800,NA,"DEV"
"1701",NA,"Software Engineer","Java","","3.5","3.5",1500,400,"Мариуполь","до 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Android,Веб-разработка","20/05/2014 15:48:50","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",3.5,3.5,"other",1500,NA,"DEV"
"1702",NA,"QA engineer","","Automation QA","5","0.75",2000,100,"Киев","свыше 1000 человек","Аутсорсинговая","женский",27,"Высшее","False","средний","Веб-разработка,Телекоммуникации","20/05/2014 15:48:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5,0.75,"Киев",2000,NA,"QA"
"1703",NA,"Senior Software Engineer","Java","","7","1",3000,0,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка,eCommerce","20/05/2014 15:49:02","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",7,1,"Днепр.",3000,NA,"DEV"
"1704",NA,"QA engineer","","Manual QA","3","0.25",1500,0,"Харьков","свыше 1000 человек","Аутстаффинговая","женский",25,"Высшее","False","средний","Android,iOS","20/05/2014 15:49:06","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",3,0.25,"Харьков",1500,NA,"QA"
"1705",NA,"Software Engineer","Java","","2","1",1000,0,"Львов","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","False","средний","Другое","20/05/2014 15:49:08","Mozilla/5.0 (X11; Linux i686; rv:28.0) Gecko/20100101 Firefox/28.0",2,1,"Львов",1000,NA,"DEV"
"1706",NA,"Software Engineer","C#/.NET","","3","1",1200,300,"Харьков","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Desktop Applications,Веб-разработка","20/05/2014 15:49:12","Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67",3,1,"Харьков",1200,NA,"DEV"
"1707",NA,"Software Engineer","PHP","","0.75","0.25",500,200,"Винница","до 50 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Веб-разработка,eCommerce","20/05/2014 15:49:14","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0.75,0.25,"other",500,NA,"DEV"
"1708",NA,"Software Engineer","Java","","4.5","4.5",1870,200,"Киев","до 1000 человек","Аутсорсинговая","женский",27,"Высшее","False","выше среднего","Веб-разработка","20/05/2014 15:49:17","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36 OPR/20.0.1387.91",4.5,4.5,"Киев",1870,NA,"DEV"
"1709",NA,"Junior Software Engineer","C++","","2","2",1500,200,"Киев","до 200 человек","Продуктовая","женский",24,"Высшее","False","продвинутый","Desktop Applications","20/05/2014 15:49:17","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36 OPR/17.0.1241.53",2,2,"Киев",1500,NA,"DEV"
"1710",NA,"Team lead","","","7","1",3300,300,"Донецк","до 200 человек","Аутсорсинговая","мужской",28,"Высшее","False","продвинутый","Веб-разработка,Корпоративные системы","20/05/2014 15:49:19","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",7,1,"other",3300,NA,"PM"
"1711",NA,"Software Engineer","PHP","","3","3",567,50,"Симферополь","до 10 человек","Продуктовая","мужской",26,"Незаконченное высшее","False","ниже среднего","Веб-разработка","20/05/2014 15:49:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 YaBrowser/14.2.1700.12597 Safari/537.36",3,3,"other",567,NA,"DEV"
"1712",NA,"Software Engineer","C#/.NET","","1.5","1.5",950,500,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Desktop Applications,Корпоративные системы","20/05/2014 15:49:27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.5,1.5,"Львов",950,NA,"DEV"
"1713",NA,"Junior Software Engineer","Java","","1.5","0.5",1300,600,"Киев","до 200 человек","Продуктовая","мужской",21,"Незаконченное высшее","True","средний","Веб-разработка","20/05/2014 15:49:29","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:29.0) Gecko/20100101 Firefox/29.0",1.5,0.5,"Киев",1300,NA,"DEV"
"1714",NA,"Senior Software Engineer","Java","","6","6",3150,100,"Одесса","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","продвинутый","iOS,Веб-разработка","20/05/2014 15:49:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6,6,"Одесса",3150,NA,"DEV"
"1715",NA,"Senior Software Engineer","Java","","5","4",2400,300,"Харьков","до 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","ниже среднего","Android","20/05/2014 15:49:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5,4,"Харьков",2400,NA,"DEV"
"1716",NA,"Senior Software Engineer","PHP","","8","меньше 3 месяцев",3400,0,"Киев","до 10 человек","Продуктовая","мужской",27,"Высшее","False","средний","Веб-разработка","20/05/2014 15:49:42","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",8,0,"Киев",3400,NA,"DEV"
"1717",NA,"Senior Software Engineer","Java","","9","4.5",3800,300,"Николаев","до 200 человек","Аутсорсинговая","мужской",34,"Высшее","False","выше среднего","Gamedev,Корпоративные системы","20/05/2014 15:49:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",9,4.5,"other",3800,NA,"DEV"
"1718",NA,"Senior Software Engineer","JavaScript","","4","2",2635,635,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","продвинутый","Веб-разработка","20/05/2014 15:49:47","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",4,2,"Львов",2635,NA,"DEV"
"1719",NA,"Junior Software Engineer","C++","","1","1",600,80,"Киев","до 10 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","True","средний","Gamedev,Корпоративные системы","20/05/2014 15:49:57","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1,1,"Киев",600,NA,"DEV"
"1720",NA,"Senior Software Engineer","PHP","","2","0.25",1500,500,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка","20/05/2014 15:49:57","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,0.25,"Львов",1500,NA,"DEV"
"1721",NA,"Junior Software Engineer","PHP","","1","1",250,-50,"Симферополь","до 50 человек","Аутсорсинговая","мужской",22,"Высшее","True","средний","Веб-разработка","20/05/2014 15:50:07","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1,1,"other",250,NA,"DEV"
"1722",NA,"Junior Software Engineer","PHP","","2.5","1.25",800,300,"Киев","до 200 человек","Другая","мужской",23,"Высшее","False","элементарный","Веб-разработка","20/05/2014 15:50:09","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",2.5,1.25,"Киев",800,NA,"DEV"
"1723",NA,"Software Engineer","C#/.NET","","2","1",2200,800,"Харьков","до 10 человек","Продуктовая","мужской",24,"Высшее","False","средний","Веб-разработка,Gamedev","20/05/2014 15:50:12","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,1,"Харьков",2200,NA,"DEV"
"1724",NA,"Бизнес-аналитик","","","2.5","0.75",2500,0,"Киев","до 200 человек","Аутсорсинговая","женский",25,"Высшее","False","продвинутый","Финансы и банки","20/05/2014 15:50:13","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,0.75,"Киев",2500,NA,""
"1725",NA,"Team lead","","","3.5","1",2200,200,"Киев","до 1000 человек","Аутсорсинговая","женский",24,"Высшее","False","продвинутый","Другое","20/05/2014 15:50:18","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/6.1.3 Safari/537.75.14",3.5,1,"Киев",2200,NA,"PM"
"1726",NA,"Верстальщик","","","1","1",300,100,"Донецк","до 50 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","True","средний","Веб-разработка","20/05/2014 15:50:18","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",1,1,"other",300,NA,""
"1727",NA,"Бизнес-аналитик","","","10 и более лет","10 и более лет",3600,400,"Харьков","до 1000 человек","Продуктовая","мужской",37,"Высшее","False","продвинутый","Корпоративные системы","20/05/2014 15:50:29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,10,"Харьков",3600,NA,""
"1728",NA,"Software Engineer","C","","5","2.5",2400,600,"Киев","свыше 1000 человек","Продуктовая","мужской",24,"Высшее","False","выше среднего","Android,Системное программирование","20/05/2014 15:50:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5,2.5,"Киев",2400,NA,"DEV"
"1729",NA,"Software Engineer","Java","","2","1.75",792,-158,"Чернигов","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","ниже среднего","Телекоммуникации,Корпоративные системы","20/05/2014 15:50:35","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,1.75,"other",792,NA,"DEV"
"1730",NA,"Software Engineer","PHP","","4","2.5",1800,400,"Харьков","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","False","ниже среднего","Веб-разработка","20/05/2014 15:50:42","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22",4,2.5,"Харьков",1800,NA,"DEV"
"1731",NA,"Системный администратор","","","10 и более лет","2",1900,150,"Харьков","до 50 человек","Продуктовая","мужской",30,"Незаконченное высшее","False","средний","Телекоммуникации,Корпоративные системы","20/05/2014 15:50:45","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",10,2,"Харьков",1900,NA,"ADM"
"1732",NA,"Software Engineer","JavaScript","","2","1",1200,800,"Запорожье","до 50 человек","Аутсорсинговая","мужской",27,"Незаконченное высшее","True","средний","Веб-разработка","20/05/2014 15:50:46","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:29.0) Gecko/20100101 Firefox/29.0",2,1,"other",1200,NA,"DEV"
"1733",NA,"Дизайнер","","","7.5","1.25",2000,0,"Днепр.","до 1000 человек","Аутсорсинговая","мужской",28,"Незаконченное высшее","False","продвинутый","iOS,Веб-разработка","20/05/2014 15:50:52","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",7.5,1.25,"Днепр.",2000,NA,""
"1734",NA,"Junior Software Engineer","C++","","1.25","1.25",600,300,"Харьков","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","ниже среднего","Desktop Applications","20/05/2014 15:50:55","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",1.25,1.25,"Харьков",600,NA,"DEV"
"1735",NA,"Team lead","","","6","1.75",3000,500,"Донецк","до 50 человек","Стартап","мужской",26,"Высшее","False","средний","Веб-разработка","20/05/2014 15:50:58","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6,1.75,"other",3000,NA,"PM"
"1736",NA,"Software Engineer","Ruby/Rails","","5","0.5",1300,0,"Киев","до 10 человек","Стартап","мужской",27,"Высшее","False","средний","Веб-разработка,Системное программирование","20/05/2014 15:50:58","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",5,0.5,"Киев",1300,NA,"DEV"
"1737",NA,"QA engineer","","General QA","2","0.5",1500,800,"Киев","до 50 человек","Продуктовая","мужской",29,"Два высших","False","средний","Веб-разработка","20/05/2014 15:51:09","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,0.5,"Киев",1500,NA,"QA"
"1738",NA,"Project manager","","","1","2",2800,0,"Львов","до 200 человек","Аутсорсинговая","женский",26,"Высшее","False","продвинутый","Веб-разработка","20/05/2014 15:51:15","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1,2,"Львов",2800,NA,"PM"
"1739",NA,"Team lead","","","8","2",2200,0,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","продвинутый","Embedded","20/05/2014 15:51:18","Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0",8,2,"Одесса",2200,NA,"PM"
"1740",NA,"Software Engineer","C#/.NET","","3","3",1600,600,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Веб-разработка","20/05/2014 15:51:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,3,"Львов",1600,NA,"DEV"
"1741",NA,"HR","","","3.5","0.75",1800,500,"Киев","до 200 человек","Продуктовая","женский",23,"Высшее","False","продвинутый","Веб-разработка","20/05/2014 15:51:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3.5,0.75,"Киев",1800,NA,""
"1742",NA,"Technical Lead","Java","","10 и более лет","2.5",3500,500,"Севастополь","до 200 человек","Другая","мужской",36,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","20/05/2014 15:51:40","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",10,2.5,"other",3500,NA,"SDEV"
"1743",NA,"Software Engineer","C#/.NET","","5.5","5.5",1600,300,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","20/05/2014 15:51:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5.5,5.5,"Львов",1600,NA,"DEV"
"1744",NA,"Верстальщик","","","4","4",600,100,"Житомир","до 10 человек","Другая","мужской",28,"Среднее","False","ниже среднего","Веб-разработка","20/05/2014 15:51:44","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",4,4,"other",600,NA,""
"1745",NA,"Team lead","","","6.5","1.5",900,300,"Симферополь","до 200 человек","Продуктовая","женский",35,"Высшее","False","средний","Другое","20/05/2014 15:51:58","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",6.5,1.5,"other",900,NA,"PM"
"1746",NA,"Senior Software Engineer","Objective-C","","10 и более лет","меньше 3 месяцев",3000,800,"Киев","до 10 человек","Продуктовая","мужской",29,"Высшее","False","выше среднего","Desktop Applications","20/05/2014 15:52:01","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0 AlexaToolbar/alxf-2.19",10,0,"Киев",3000,NA,"DEV"
"1747",NA,"Project manager","","","0.5","0.5",350,50,"Харьков","до 10 человек","Другая","мужской",23,"Среднее","False","ниже среднего","Веб-разработка","20/05/2014 15:52:03","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",0.5,0.5,"Харьков",350,NA,"PM"
"1748",NA,"Senior Software Engineer","PHP","","6","3",2500,0,"Харьков","до 50 человек","Аутстаффинговая","женский",28,"Высшее","False","выше среднего","Веб-разработка,eCommerce","20/05/2014 15:52:08","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",6,3,"Харьков",2500,NA,"DEV"
"1749",NA,"System Architect / Системный архитектор","PHP","","10 и более лет","2",2500,1000,"Ивано-Франковск","до 10 человек","Аутстаффинговая","мужской",29,"Кандидат","False","ниже среднего","Веб-разработка,Корпоративные системы","20/05/2014 15:52:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,2,"other",2500,NA,""
"1750",NA,"Software Engineer","Objective-C","","1.75","0.75",2500,-500,"Киев","до 10 человек","Другая","мужской",23,"Высшее","False","ниже среднего","iOS","20/05/2014 15:52:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.75,0.75,"Киев",2500,NA,"DEV"
"1751",NA,"Software Engineer","Python","","3.5","2",2300,300,"Киев","до 50 человек","Продуктовая","мужской",28,"Высшее","False","средний","eCommerce","20/05/2014 15:52:25","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3.5,2,"Киев",2300,NA,"DEV"
"1752",NA,"Senior Software Engineer","JavaScript","","7.5","0.5",2600,600,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Веб-разработка","20/05/2014 15:52:29","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",7.5,0.5,"Харьков",2600,NA,"DEV"
"1753",NA,"Project manager","","","0.5","0.5",500,500,"Черкассы","до 10 человек","Аутсорсинговая","женский",37,"Два высших","False","продвинутый","Веб-разработка,eCommerce","20/05/2014 15:52:30","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",0.5,0.5,"other",500,NA,"PM"
"1754",NA,"Junior Software Engineer","Java","","1.25","1.25",1000,400,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","True","выше среднего","Веб-разработка,Финансы и банки","20/05/2014 15:52:30","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",1.25,1.25,"Киев",1000,NA,"DEV"
"1755",NA,"Project manager","","","5","5",1400,0,"Львов","до 10 человек","Продуктовая","мужской",34,"Высшее","False","средний","Android,Мультимедиа","20/05/2014 15:52:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5,5,"Львов",1400,NA,"PM"
"1756",NA,"Software Engineer","PHP","","1.25","0.25",900,300,"Киев","до 10 человек","Другая","мужской",23,"Высшее","False","средний","Веб-разработка","20/05/2014 15:52:36","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36",1.25,0.25,"Киев",900,NA,"DEV"
"1757",NA,"Senior Software Engineer","C#/.NET","","6.5","2",3200,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","Веб-разработка","20/05/2014 15:52:38","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6.5,2,"Киев",3200,NA,"DEV"
"1758",NA,"Junior QA engineer","","Manual QA","0.25","0.25",800,0,"Одесса","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Desktop Applications,Телекоммуникации","20/05/2014 15:52:45","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",0.25,0.25,"Одесса",800,NA,"QA"
"1759",NA,"Support","","","4","7",3000,1200,"Запорожье","до 200 человек","Аутсорсинговая","мужской",30,"Высшее","False","средний","Веб-разработка,Корпоративные системы","20/05/2014 15:52:45","Opera/9.80 (Windows NT 6.1; WOW64; Edition Ukraine Local) Presto/2.12.388 Version/12.17",4,7,"other",3000,NA,""
"1760",NA,"Technical Lead","PHP","","7","2",2000,0,"Днепр.","до 10 человек","Продуктовая","мужской",25,"Высшее","False","ниже среднего","Веб-разработка","20/05/2014 15:53:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",7,2,"Днепр.",2000,NA,"SDEV"
"1761",NA,"Системный администратор","","","2","2",500,100,"Полтава","до 10 человек","Продуктовая","мужской",23,"Незаконченное высшее","True","ниже среднего","Desktop Applications,Корпоративные системы","20/05/2014 15:53:01","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",2,2,"other",500,NA,"ADM"
"1762",NA,"Software Engineer","Objective-C","","1.5","0.25",1500,1100,"Киев","до 50 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","средний","iOS","20/05/2014 15:53:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",1.5,0.25,"Киев",1500,NA,"DEV"
"1763",NA,"Senior Project Manager / Program Manager","","","8","8",3500,1000,"Днепр.","до 200 человек","Аутсорсинговая","женский",29,"Высшее","False","средний","Desktop Applications,Системное программирование","20/05/2014 15:53:17","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",8,8,"Днепр.",3500,NA,"SPM"
"1764",NA,"Software Engineer","C#/.NET","","1.5","1.5",1000,500,"Львов","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Desktop Applications","20/05/2014 15:53:32","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.5,1.5,"Львов",1000,NA,"DEV"
"1765",NA,"Project manager","","","6","2.5",5000,5000,"Киев","свыше 1000 человек","Аутстаффинговая","женский",35,"Высшее","False","средний","Другое","20/05/2014 15:53:53","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",6,2.5,"Киев",5000,NA,"PM"
"1766",NA,"Software Engineer","SQL","","6","0.5",2100,400,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",28,"Два высших","False","средний","Финансы и банки,Корпоративные системы","20/05/2014 15:53:54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0",6,0.5,"Днепр.",2100,NA,"DEV"
"1767",NA,"Junior Software Engineer","Java","","1.75","1.5",1300,200,"Киев","свыше 1000 человек","Другая","мужской",25,"Высшее","False","выше среднего","Android","20/05/2014 15:53:58","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.75,1.5,"Киев",1300,NA,"DEV"
"1768",NA,"Junior Software Engineer","Java","","1","0.25",800,100,"Харьков","до 50 человек","Аутсорсинговая","мужской",43,"Высшее","False","ниже среднего","Веб-разработка","20/05/2014 15:54:03","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1,0.25,"Харьков",800,NA,"DEV"
